Date,Open,High,Low,Close,Adj Close,Volume
2019-08-20,92.139999,92.209999,91.120003,91.190002,89.504707,2556300
2019-08-21,91.440002,91.760002,91.080002,91.570000,89.877686,2739400
2019-08-22,91.559998,92.059998,91.050003,91.989998,90.289917,2587300
2019-08-23,91.910004,92.550003,90.400002,90.699997,89.023758,5776500
2019-08-26,91.199997,91.480003,90.769997,91.400002,89.710823,2736200
2019-08-27,91.900002,92.129997,91.070000,91.139999,89.455627,3252300
2019-08-28,91.129997,91.580002,90.910004,91.440002,89.750084,3498600
2019-08-29,91.849998,92.250000,91.639999,92.150002,90.446960,2688000
2019-08-30,92.410004,92.510002,91.809998,92.220001,90.515663,5678300
2019-09-03,92.199997,93.239998,92.000000,93.139999,91.418663,5927900
2019-09-04,93.599998,94.070000,93.440002,93.919998,92.184250,4757100
2019-09-05,94.010002,94.010002,93.070000,93.239998,91.516815,6036600
2019-09-06,93.510002,93.790001,93.220001,93.449997,91.722931,2986400
2019-09-09,93.449997,93.459999,92.750000,93.000000,91.281258,3772100
2019-09-10,92.660004,92.680000,91.239998,92.040001,90.338997,5379400
2019-09-11,91.919998,92.290001,91.419998,92.139999,90.437149,3972200
2019-09-12,92.849998,93.169998,92.089996,92.629997,90.918083,3486100
2019-09-13,92.519997,92.989998,91.360001,91.639999,89.946388,6109300
2019-09-16,91.800003,92.589996,91.489998,92.440002,90.731606,4688300
2019-09-17,92.849998,93.480003,92.610001,93.440002,91.713120,3674800
2019-09-18,93.970001,93.970001,92.339996,93.120003,91.399040,5655000
2019-09-19,93.320000,93.849998,93.220001,93.449997,91.722931,2892800
2019-09-20,93.660004,93.940002,93.180000,93.449997,91.722931,6900400
2019-09-23,93.260002,94.000000,93.230003,93.599998,91.870163,3515200
2019-09-24,93.110001,93.330002,92.339996,92.650002,91.666351,3705600
2019-09-25,92.650002,93.050003,92.410004,92.830002,91.844444,7088700
2019-09-26,93.110001,93.830002,93.000000,93.610001,92.616158,2984700
2019-09-27,93.809998,93.910004,92.440002,93.089996,92.101677,4090300
2019-09-30,93.190002,93.720001,93.110001,93.250000,92.259979,3189800
2019-10-01,93.199997,93.480003,92.220001,92.370003,91.389328,5226300
